Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
NYG,2020,6,10,0,0.375,280,357,-77,-4.8,0.4,-4.4,-6.7,2.3,0
DAL,2020,6,10,0,0.375,395,473,-78,-4.9,-0.2,-5.1,1,-6.1,0
PHI,2020,4,11,1,0.281,334,418,-84,-5.3,0.8,-4.4,-2.8,-1.6,0
GB,2020,13,3,0,0.813,509,369,140,8.8,-1.1,7.7,5.9,1.8,1
CHI,2020,8,8,0,0.5,372,370,2,0.1,0.1,0.2,-2.2,2.4,1
MIN,2020,7,9,0,0.438,430,475,-45,-2.8,0.4,-2.4,1.3,-3.8,0
DET,2020,5,11,0,0.313,377,519,-142,-8.9,1.2,-7.7,-1,-6.7,0
NO,2020,12,4,0,0.75,482,337,145,9.1,0.5,9.6,5.1,4.5,1
TB,2020,11,5,0,0.688,492,355,137,8.6,0.8,9.4,6.5,2.8,1
CAR,2020,5,11,0,0.313,350,402,-52,-3.3,2.2,-1.1,-2.4,1.3,0
ATL,2020,4,12,0,0.25,396,414,-18,-1.1,1.9,0.7,-0.1,0.8,0
SEA,2020,12,4,0,0.75,459,371,88,5.5,0,5.5,4.8,0.7,1
LAR,2020,10,6,0,0.625,372,296,76,4.8,0.7,5.4,-0.8,6.2,1
ARI,2020,8,8,0,0.5,410,367,43,2.7,-0.1,2.6,1.5,1,0
SF,2020,6,10,0,0.375,376,390,-14,-0.9,1.7,0.8,0.2,0.7,0
NE,2019,12,4,0,0.75,420,225,195,12.2,-1.8,10.4,2.8,7.6,1
BUF,2019,10,6,0,0.625,314,259,55,3.4,-1.3,2.2,-3.5,5.7,1
NYJ,2019,7,9,0,0.438,276,359,-83,-5.2,-1.1,-6.3,-5.7,-0.6,0
MIA,2019,5,11,0,0.313,306,494,-188,-11.8,0.2,-11.6,-2.4,-9.1,0
BAL,2019,14,2,0,0.875,531,282,249,15.6,0.1,15.6,11,4.7,1
PIT,2019,8,8,0,0.5,289,303,-14,-0.9,1.2,0.3,-4.3,4.6,0
CLE,2019,6,10,0,0.375,335,393,-58,-3.6,1.7,-1.9,-0.4,-1.5,0
CIN,2019,2,14,0,0.125,279,420,-141,-8.8,1.5,-7.3,-4.4,-2.9,0
HOU,2019,10,6,0,0.625,378,385,-7,-0.4,1,0.5,1,-0.5,1
TEN,2019,9,7,0,0.563,402,331,71,4.4,-1,3.4,1.8,1.7,1
IND,2019,7,9,0,0.438,361,373,-12,-0.8,-1.1,-1.8,-1,-0.8,0
JAX,2019,6,10,0,0.375,300,397,-97,-6.1,-0.6,-6.7,-4.6,-2.1,0
KC,2019,12,4,0,0.75,451,308,143,8.9,0.2,9.1,6.2,2.9,1
DEN,2019,7,9,0,0.438,282,316,-34,-2.1,0,-2.1,-4.8,2.7,0
LV,2019,7,9,0,0.438,313,419,-106,-6.6,-0.3,-6.9,-2.5,-4.4,0
LAC,2019,5,11,0,0.313,337,345,-8,-0.5,-0.8,-1.3,-1.6,0.3,0
PHI,2019,9,7,0,0.563,385,354,31,1.9,-1.7,0.3,0.7,-0.4,1
DAL,2019,8,8,0,0.5,434,321,113,7.1,-1.8,5.3,3.8,1.5,0
NYG,2019,4,12,0,0.25,341,451,-110,-6.9,-1,-7.9,-1.8,-6.1,0
WAS,2019,3,13,0,0.188,266,435,-169,-10.6,-0.2,-10.8,-6.3,-4.5,0
GB,2019,13,3,0,0.813,376,313,63,3.9,-0.7,3.2,0.6,2.6,1
MIN,2019,10,6,0,0.625,407,303,104,6.5,-1.1,5.4,2.5,2.9,1
CHI,2019,8,8,0,0.5,280,298,-18,-1.1,0.2,-0.9,-5.4,4.5,0
DET,2019,3,12,1,0.219,341,423,-82,-5.1,-0.1,-5.2,-1.2,-4,0
NO,2019,13,3,0,0.813,458,341,117,7.3,0,7.4,5,2.3,1
ATL,2019,7,9,0,0.438,381,399,-18,-1.1,1.1,-0.1,0.3,-0.4,0
TB,2019,7,9,0,0.438,458,449,9,0.6,-0.2,0.4,4.9,-4.5,0
CAR,2019,5,11,0,0.313,340,470,-130,-8.1,1.1,-7,-1.9,-5.1,0
SF,2019,13,3,0,0.813,479,310,169,10.6,0.4,11,6.7,4.3,1
SEA,2019,11,5,0,0.688,405,398,7,0.4,2.3,2.7,2.9,-0.2,1
LAR,2019,9,7,0,0.563,394,364,30,1.9,2,3.9,2.2,1.7,0
ARI,2019,5,10,1,0.344,361,442,-81,-5.1,1.8,-3.2,-0.3,-2.9,0
NE,2018,11,5,0,0.688,436,325,111,6.9,-1.8,5.2,3.1,2.1,1
MIA,2018,7,9,0,0.438,319,433,-114,-7.1,-1.7,-8.8,-3.6,-5.2,0
BUF,2018,6,10,0,0.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6,0
NYJ,2018,4,12,0,0.25,333,441,-108,-6.8,-1.1,-7.8,-2,-5.9,0
BAL,2018,10,6,0,0.625,389,287,102,6.4,0.6,7,0.6,6.4,1
PIT,2018,9,6,1,0.594,428,360,68,4.3,1.3,5.6,3.9,1.7,0
CLE,2018,7,8,1,0.469,359,392,-33,-2.1,1.7,-0.3,-1,0.6,0
CIN,2018,6,10,0,0.375,368,455,-87,-5.4,2,-3.4,0,-3.4,0
HOU,2018,11,5,0,0.688,402,316,86,5.4,-1.5,3.8,2.4,1.4,1
IND,2018,10,6,0,0.625,433,344,89,5.6,-2.2,3.4,3.9,-0.6,1
TEN,2018,9,7,0,0.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5,0
JAX,2018,5,11,0,0.313,245,316,-71,-4.4,0.4,-4,-8.1,4,0
KC,2018,12,4,0,0.75,565,421,144,9,-0.1,8.9,12.6,-3.8,1
LAC,2018,12,4,0,0.75,428,329,99,6.2,-0.2,6,3,2.9,1
DEN,2018,6,10,0,0.375,329,349,-20,-1.3,0.7,-0.5,-3.6,3.1,0
LV,2018,4,12,0,0.25,290,467,-177,-11.1,1.8,-9.3,-5.2,-4.1,0
DAL,2018,10,6,0,0.625,339,324,15,0.9,0.2,1.1,-1.9,2.9,1
PHI,2018,9,7,0,0.563,367,348,19,1.2,0.5,1.7,0,1.8,1
WAS,2018,7,9,0,0.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,0
NYG,2018,5,11,0,0.313,369,412,-43,-2.7,0.5,-2.2,0.8,-2.9,0
CHI,2018,12,4,0,0.75,421,283,138,8.6,-2.3,6.3,1.5,4.8,1
MIN,2018,8,7,1,0.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8,0
GB,2018,6,9,1,0.406,376,400,-24,-1.5,-1.2,-2.7,0,-2.7,0
DET,2018,6,10,0,0.375,324,360,-36,-2.3,-0.8,-3,-3.3,0.3,0
NO,2018,13,3,0,0.813,504,353,151,9.4,0.6,10.1,7.9,2.2,1
ATL,2018,7,9,0,0.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,0
CAR,2018,7,9,0,0.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8,0
TB,2018,5,11,0,0.313,396,464,-68,-4.3,1.7,-2.6,2,-4.6,0
LAR,2018,13,3,0,0.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1,1
SEA,2018,10,6,0,0.625,428,347,81,5.1,-0.6,4.5,3,1.5,1
SF,2018,4,12,0,0.25,342,435,-93,-5.8,0.3,-5.5,-2.5,-3.1,0
ARI,2018,3,13,0,0.188,225,425,-200,-12.5,1,-11.5,-9.6,-1.9,0
NE,2017,13,3,0,0.813,458,296,162,10.1,-1.2,8.9,6.3,2.6,1
BUF,2017,9,7,0,0.563,302,359,-57,-3.6,-0.5,-4,-3,-1,1
MIA,2017,6,10,0,0.375,281,393,-112,-7,0.7,-6.3,-3.9,-2.4,0
NYJ,2017,5,11,0,0.313,298,382,-84,-5.3,0.3,-4.9,-2.9,-2.1,0
PIT,2017,13,3,0,0.813,406,308,98,6.1,-1.1,5,3.2,1.8,1
BAL,2017,9,7,0,0.563,395,303,92,5.8,-2.4,3.4,2.2,1.2,0
CIN,2017,7,9,0,0.438,290,349,-59,-3.7,-1.3,-5,-4.1,-0.9,0
CLE,2017,0,16,0,0,234,410,-176,-11,0,-11,-6.8,-4.1,0
JAX,2017,10,6,0,0.625,417,268,149,9.3,-2.8,6.5,3,3.6,1
TEN,2017,9,7,0,0.563,334,356,-22,-1.4,-2.1,-3.5,-2,-1.5,1
IND,2017,4,12,0,0.25,263,404,-141,-8.8,-1.3,-10.1,-6.1,-4,0
HOU,2017,4,12,0,0.25,338,436,-98,-6.1,-0.3,-6.4,-0.8,-5.6,0
KC,2017,10,6,0,0.625,415,339,76,4.8,-1.3,3.4,3.8,-0.3,1
LAC,2017,9,7,0,0.563,355,272,83,5.2,-1.5,3.6,-0.3,4,0
LV,2017,6,10,0,0.375,301,373,-72,-4.5,-0.2,-4.7,-3,-1.8,0
DEN,2017,5,11,0,0.313,289,382,-93,-5.8,-0.9,-6.7,-3.9,-2.9,0
PHI,2017,13,3,0,0.813,457,295,162,10.1,-0.7,9.4,7,2.5,1
DAL,2017,9,7,0,0.563,354,332,22,1.4,0.2,1.6,0.4,1.2,0
WAS,2017,7,9,0,0.438,342,388,-46,-2.9,1.6,-1.3,0.5,-1.8,0
NYG,2017,3,13,0,0.188,246,388,-142,-8.9,1.3,-7.6,-6.4,-1.2,0
MIN,2017,13,3,0,0.813,382,252,130,8.1,1,9.1,2.3,6.8,1
DET,2017,9,7,0,0.563,410,376,34,2.1,0.6,2.7,5.2,-2.5,0
GB,2017,7,9,0,0.438,320,384,-64,-4,2.1,-1.9,-0.3,-1.6,0
CHI,2017,5,11,0,0.313,264,320,-56,-3.5,2.2,-1.3,-4.6,3.3,0
NO,2017,11,5,0,0.688,448,326,122,7.6,1.5,9.2,7,2.2,1
CAR,2017,11,5,0,0.688,363,327,36,2.3,2.1,4.3,1.7,2.7,1
ATL,2017,10,6,0,0.625,353,315,38,2.4,1.9,4.3,1.1,3.2,1
TB,2017,5,11,0,0.313,335,382,-47,-2.9,1.7,-1.3,0.4,-1.7,0
LAR,2017,11,5,0,0.688,478,329,149,9.3,-0.2,9.2,8.2,1,1
SEA,2017,9,7,0,0.563,366,332,34,2.1,-0.2,1.9,0.7,1.2,0
ARI,2017,8,8,0,0.5,295,361,-66,-4.1,0.4,-3.7,-4,0.2,0
SF,2017,6,10,0,0.375,331,383,-52,-3.3,0.4,-2.9,-0.8,-2.1,0
NE,2016,14,2,0,0.875,441,250,191,11.9,-2.7,9.3,4.3,5,1
MIA,2016,10,6,0,0.625,363,380,-17,-1.1,-1.3,-2.4,-0.6,-1.8,1
BUF,2016,7,9,0,0.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,0
NYJ,2016,5,11,0,0.313,275,409,-134,-8.4,-0.1,-8.5,-5.5,-3,0
PIT,2016,11,5,0,0.688,399,327,72,4.5,0.2,4.7,2.8,2,1
BAL,2016,8,8,0,0.5,343,321,22,1.4,0.2,1.5,-1.1,2.6,0
CIN,2016,6,9,1,0.406,325,315,10,0.6,0.4,1,-1.5,2.5,0
CLE,2016,1,15,0,0.063,264,452,-188,-11.8,1.7,-10.1,-5.2,-4.9,0
HOU,2016,9,7,0,0.563,279,328,-49,-3.1,0.4,-2.6,-5.3,2.7,1
TEN,2016,9,7,0,0.563,381,378,3,0.2,-1.2,-1,0.7,-1.7,0
IND,2016,8,8,0,0.5,411,392,19,1.2,-0.8,0.4,3.1,-2.7,0
JAX,2016,3,13,0,0.188,318,400,-82,-5.1,0.2,-5,-2.7,-2.3,0
KC,2016,12,4,0,0.75,389,311,78,4.9,0.7,5.6,1.2,4.4,1
LV,2016,12,4,0,0.75,416,385,31,1.9,1.3,3.3,3.5,-0.3,1
DEN,2016,9,7,0,0.563,333,297,36,2.3,1.8,4,-2,6.1,0
LAC,2016,5,11,0,0.313,410,423,-13,-0.8,0.9,0.1,3,-3,0
DAL,2016,13,3,0,0.813,421,306,115,7.2,-0.2,7,4.1,2.9,1
NYG,2016,11,5,0,0.688,310,284,26,1.6,0.5,2.1,-3.2,5.4,1
WAS,2016,8,7,1,0.531,396,383,13,0.8,1.2,2,3.3,-1.3,0
PHI,2016,7,9,0,0.438,367,331,36,2.3,1.6,3.8,1.3,2.5,0
GB,2016,10,6,0,0.625,432,388,44,2.8,0.1,2.8,4.9,-2,1
DET,2016,9,7,0,0.563,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1,1
MIN,2016,8,8,0,0.5,327,307,20,1.3,-0.3,0.9,-2.6,3.6,0
CHI,2016,3,13,0,0.188,279,399,-120,-7.5,0,-7.5,-5.2,-2.3,0
ATL,2016,11,5,0,0.688,540,406,134,8.4,0.1,8.5,10.5,-2,1
TB,2016,9,7,0,0.563,354,369,-15,-0.9,0.7,-0.2,-1.5,1.3,0
NO,2016,7,9,0,0.438,469,454,15,0.9,0.6,1.5,6.8,-5.3,0
CAR,2016,6,10,0,0.375,369,402,-33,-2.1,1.1,-1,-0.2,-0.8,0
SEA,2016,10,5,1,0.656,354,292,62,3.9,-1.7,2.1,-2.4,4.5,1
ARI,2016,7,8,1,0.469,418,362,56,3.5,-1.9,1.6,2.4,-0.8,0
LAR,2016,4,12,0,0.25,224,394,-170,-10.6,-0.5,-11.1,-9.5,-1.6,0
SF,2016,2,14,0,0.125,309,480,-171,-10.7,-0.5,-11.2,-3.7,-7.5,0
NE,2015,12,4,0,0.75,465,315,150,9.4,-2.4,7,5.3,1.7,1
NYJ,2015,10,6,0,0.625,387,314,73,4.6,-3,1.5,-0.5,2,0
BUF,2015,8,8,0,0.5,379,359,20,1.3,-1.2,0,0.3,-0.2,0
MIA,2015,6,10,0,0.375,310,389,-79,-4.9,-1.9,-6.8,-4.7,-2.2,0
CIN,2015,12,4,0,0.75,419,279,140,8.8,1.9,10.6,4.8,5.8,1
PIT,2015,10,6,0,0.625,423,319,104,6.5,2.2,8.7,5.1,3.6,1
BAL,2015,5,11,0,0.313,328,401,-73,-4.6,2.6,-1.9,-0.7,-1.2,0
CLE,2015,3,13,0,0.188,278,432,-154,-9.6,3.5,-6.1,-3.2,-2.9,0
HOU,2015,9,7,0,0.563,339,313,26,1.6,-2.4,-0.8,-3.3,2.6,1
IND,2015,8,8,0,0.5,333,408,-75,-4.7,-2,-6.7,-3.1,-3.6,0
JAX,2015,5,11,0,0.313,376,448,-72,-4.5,-3,-7.5,-0.7,-6.9,0
TEN,2015,3,13,0,0.188,299,423,-124,-7.8,-2.8,-10.5,-5.9,-4.6,0
DEN,2015,12,4,0,0.75,355,296,59,3.7,2.1,5.8,0.3,5.5,1
KC,2015,11,5,0,0.688,405,287,118,7.4,1.6,9,3.7,5.3,1
LV,2015,7,9,0,0.438,359,399,-40,-2.5,2.3,-0.2,1.4,-1.6,0
LAC,2015,4,12,0,0.25,320,398,-78,-4.9,2.2,-2.6,-1.5,-1.1,0
WAS,2015,9,7,0,0.563,388,379,9,0.6,-2.5,-1.9,-0.2,-1.8,1
PHI,2015,7,9,0,0.438,377,430,-53,-3.3,-1.3,-4.6,-0.6,-4,0
NYG,2015,6,10,0,0.375,420,442,-22,-1.4,-2.2,-3.6,2.5,-6.1,0
DAL,2015,4,12,0,0.25,275,374,-99,-6.2,-0.7,-6.9,-7,0.1,0
MIN,2015,11,5,0,0.688,365,302,63,3.9,1.9,5.8,1.1,4.7,1
GB,2015,10,6,0,0.625,368,323,45,2.8,2.5,5.3,2,3.3,1
DET,2015,7,9,0,0.438,358,400,-42,-2.6,2.4,-0.2,1,-1.3,0
CHI,2015,6,10,0,0.375,335,397,-62,-3.9,2.6,-1.3,-0.1,-1.2,0
CAR,2015,15,1,0,0.938,500,308,192,12,-3.9,8.1,6,2.1,1
ATL,2015,8,8,0,0.5,339,345,-6,-0.4,-3.4,-3.8,-4,0.3,0
NO,2015,7,9,0,0.438,408,476,-68,-4.3,-2.3,-6.6,1.1,-7.6,0
TB,2015,6,10,0,0.375,342,417,-75,-4.7,-3,-7.7,-3.5,-4.2,0
ARI,2015,13,3,0,0.813,489,313,176,11,1.3,12.3,9,3.4,1
SEA,2015,10,6,0,0.625,423,277,146,9.1,2.2,11.3,5.4,6,1
LAR,2015,7,9,0,0.438,280,330,-50,-3.1,3,-0.2,-3.8,3.6,0
SF,2015,5,11,0,0.313,238,387,-149,-9.3,3.8,-5.5,-6,0.5,0
NE,2014,12,4,0,0.75,468,313,155,9.7,1.3,10.9,7.5,3.5,1
BUF,2014,9,7,0,0.563,343,289,54,3.4,1.6,4.9,-0.4,5.3,0
MIA,2014,8,8,0,0.5,388,373,15,0.9,1.6,2.6,2.9,-0.4,0
NYJ,2014,4,12,0,0.25,283,401,-118,-7.4,2.3,-5,-4,-1,0
PIT,2014,11,5,0,0.688,436,368,68,4.3,-2,2.2,4.4,-2.1,1
CIN,2014,10,5,1,0.656,365,344,21,1.3,-0.6,0.7,-0.5,1.3,1
BAL,2014,10,6,0,0.625,409,302,107,6.7,-2.1,4.6,1.8,2.8,1
CLE,2014,7,9,0,0.438,299,337,-38,-2.4,-1.5,-3.9,-4.8,0.9,0
IND,2014,11,5,0,0.688,458,369,89,5.6,-1.1,4.4,5.2,-0.8,1
HOU,2014,9,7,0,0.563,372,307,65,4.1,-2.3,1.7,-0.8,2.5,0
JAX,2014,3,13,0,0.188,249,412,-163,-10.2,-0.3,-10.5,-7.8,-2.7,0
TEN,2014,2,14,0,0.125,254,438,-184,-11.5,-0.3,-11.8,-7,-4.9,0
DEN,2014,12,4,0,0.75,482,354,128,8,1.6,9.6,9.2,0.4,1
KC,2014,9,7,0,0.563,353,281,72,4.5,1.2,5.7,0,5.7,0
LAC,2014,9,7,0,0.563,348,348,0,0,1.9,1.9,0.7,1.2,0
LV,2014,3,13,0,0.188,253,452,-199,-12.4,3.4,-9,-4.3,-4.7,0
DAL,2014,12,4,0,0.75,467,352,115,7.2,-1.8,5.4,5.3,0.1,1
PHI,2014,10,6,0,0.625,474,400,74,4.6,-0.7,3.9,6.6,-2.7,0
NYG,2014,6,10,0,0.375,380,400,-20,-1.3,-0.4,-1.7,0.8,-2.5,0
WAS,2014,4,12,0,0.25,301,438,-137,-8.6,-0.2,-8.7,-4,-4.7,0
GB,2014,12,4,0,0.75,486,348,138,8.6,-0.3,8.3,7.9,0.4,1
DET,2014,11,5,0,0.688,321,282,39,2.4,-0.4,2.1,-3.2,5.2,1
MIN,2014,7,9,0,0.438,325,343,-18,-1.1,-0.5,-1.7,-2.8,1.1,0
CHI,2014,5,11,0,0.313,319,442,-123,-7.7,1,-6.7,-2,-4.7,0
CAR,2014,7,8,1,0.469,339,374,-35,-2.2,-0.9,-3.1,-2.4,-0.7,1
NO,2014,7,9,0,0.438,401,424,-23,-1.4,-1.5,-2.9,1.9,-4.8,0
ATL,2014,6,10,0,0.375,381,417,-36,-2.3,-1.6,-3.8,0.6,-4.4,0
TB,2014,2,14,0,0.125,277,410,-133,-8.3,-1.5,-9.8,-6.5,-3.3,0
SEA,2014,12,4,0,0.75,394,254,140,8.8,0.8,9.5,2.4,7.1,1
ARI,2014,11,5,0,0.688,310,299,11,0.7,1.3,2,-2.4,4.4,1
SF,2014,8,8,0,0.5,306,340,-34,-2.1,1.2,-1,-3,2.1,0
LAR,2014,6,10,0,0.375,324,354,-30,-1.9,1,-0.8,-1.2,0.4,0
NE,2013,12,4,0,0.75,444,338,106,6.6,-0.7,5.9,4.5,1.4,1
NYJ,2013,8,8,0,0.5,290,387,-97,-6.1,0,-6.1,-4.7,-1.4,0
MIA,2013,8,8,0,0.5,317,335,-18,-1.1,0.3,-0.8,-2.9,2.1,0
BUF,2013,6,10,0,0.375,339,388,-49,-3.1,-0.1,-3.2,-1.3,-1.9,0
CIN,2013,11,5,0,0.688,430,305,125,7.8,-2.5,5.4,2.3,3,1
PIT,2013,8,8,0,0.5,379,370,9,0.6,-2.5,-2,-0.9,-1,0
BAL,2013,8,8,0,0.5,320,352,-32,-2,-1.5,-3.5,-5,1.4,0
CLE,2013,4,12,0,0.25,308,406,-98,-6.1,-1.6,-7.7,-4.8,-2.9,0
IND,2013,11,5,0,0.688,391,336,55,3.4,0.6,4,1.7,2.3,1
TEN,2013,7,9,0,0.438,362,381,-19,-1.2,0.4,-0.8,-0.2,-0.6,0
JAX,2013,4,12,0,0.25,247,449,-202,-12.6,1.5,-11.1,-7.1,-4,0
HOU,2013,2,14,0,0.125,276,428,-152,-9.5,1.9,-7.6,-5,-2.6,0
DEN,2013,13,3,0,0.813,606,399,207,12.9,-1.6,11.4,14.1,-2.7,1
KC,2013,11,5,0,0.688,430,305,125,7.8,-1.7,6.1,1.7,4.3,1
LAC,2013,9,7,0,0.563,396,348,48,3,-0.3,2.7,0.5,2.1,1
LV,2013,4,12,0,0.25,322,453,-131,-8.2,0.2,-8,-3.8,-4.2,0
PHI,2013,10,6,0,0.625,442,382,60,3.8,-1.9,1.9,2.3,-0.5,1
DAL,2013,8,8,0,0.5,439,432,7,0.4,-1.1,-0.7,2.7,-3.4,0
NYG,2013,7,9,0,0.438,294,383,-89,-5.6,0.2,-5.4,-6.2,0.8,0
WAS,2013,3,13,0,0.188,334,478,-144,-9,-0.3,-9.3,-3.9,-5.4,0
GB,2013,8,7,1,0.531,417,428,-11,-0.7,-2.4,-3.1,0.5,-3.6,1
CHI,2013,8,8,0,0.5,445,478,-33,-2.1,-2.1,-4.1,3,-7.1,0
DET,2013,7,9,0,0.438,395,376,19,1.2,-2.8,-1.6,-1.2,-0.5,0
MIN,2013,5,10,1,0.344,391,480,-89,-5.6,-1.1,-6.6,0.2,-6.9,0
CAR,2013,12,4,0,0.75,366,241,125,7.8,1.4,9.2,0.6,8.6,1
NO,2013,11,5,0,0.688,414,304,110,6.9,1.9,8.8,3.8,5,1
ATL,2013,4,12,0,0.25,353,443,-90,-5.6,2.9,-2.8,1.2,-3.9,0
TB,2013,4,12,0,0.25,288,389,-101,-6.3,3.6,-2.7,-2.9,0.3,0
SEA,2013,13,3,0,0.813,417,231,186,11.6,1.4,13,4.1,8.9,1
SF,2013,12,4,0,0.75,406,272,134,8.4,1.8,10.1,3.5,6.6,1
ARI,2013,10,6,0,0.625,379,324,55,3.4,3,6.4,2.7,3.7,0
LAR,2013,7,9,0,0.438,348,364,-16,-1,3.2,2.2,0.4,1.8,0
NE,2012,12,4,0,0.75,557,331,226,14.1,-1.4,12.8,12.2,0.5,1
MIA,2012,7,9,0,0.438,288,317,-29,-1.8,-0.8,-2.6,-5.5,2.9,0
NYJ,2012,6,10,0,0.375,281,375,-94,-5.9,0,-5.9,-5.1,-0.9,0
BUF,2012,6,10,0,0.375,344,435,-91,-5.7,-1,-6.7,-0.9,-5.8,0
BAL,2012,10,6,0,0.625,398,344,54,3.4,-0.5,2.9,1.9,1,1
CIN,2012,10,6,0,0.625,391,320,71,4.4,-2.4,2.1,1.2,0.9,1
PIT,2012,8,8,0,0.5,336,314,22,1.4,-2,-0.7,-2.8,2.1,0
CLE,2012,5,11,0,0.313,302,368,-66,-4.1,-1.2,-5.3,-4.6,-0.7,0
HOU,2012,12,4,0,0.75,416,331,85,5.3,-1.8,3.5,1.8,1.7,1
IND,2012,11,5,0,0.688,357,387,-30,-1.9,-2.8,-4.7,-1.9,-2.8,1
TEN,2012,6,10,0,0.375,330,471,-141,-8.8,-1.2,-10,-2.6,-7.4,0
JAX,2012,2,14,0,0.125,255,444,-189,-11.8,-1.1,-13,-8.1,-4.9,0
DEN,2012,13,3,0,0.813,481,289,192,12,-1.9,10.1,6.3,3.8,1
LAC,2012,7,9,0,0.438,350,350,0,0,-2.3,-2.3,-2,-0.4,0
LV,2012,4,12,0,0.25,290,443,-153,-9.6,-1.3,-10.8,-4.6,-6.2,0
KC,2012,2,14,0,0.125,211,425,-214,-13.4,-0.6,-14,-10.3,-3.7,0
WAS,2012,10,6,0,0.625,436,388,48,3,0.4,3.4,4.6,-1.2,1
NYG,2012,9,7,0,0.563,429,344,85,5.3,0.9,6.2,4,2.2,0
DAL,2012,8,8,0,0.5,376,400,-24,-1.5,1.8,0.3,1.4,-1.2,0
PHI,2012,4,12,0,0.25,280,444,-164,-10.3,1.4,-8.9,-5.3,-3.6,0
GB,2012,11,5,0,0.688,433,336,97,6.1,1.2,7.3,4.9,2.4,1
MIN,2012,10,6,0,0.625,379,348,31,1.9,1.4,3.4,1.6,1.8,1
CHI,2012,10,6,0,0.625,375,277,98,6.1,0.8,6.9,1,6,0
DET,2012,4,12,0,0.25,372,437,-65,-4.1,1.8,-2.3,2.1,-4.4,0
ATL,2012,13,3,0,0.813,419,299,120,7.5,-1.1,6.4,2,4.5,1
CAR,2012,7,9,0,0.438,357,363,-6,-0.4,1.2,0.8,-0.5,1.3,0
NO,2012,7,9,0,0.438,461,454,7,0.4,1,1.4,6.5,-5.1,0
TB,2012,7,9,0,0.438,389,394,-5,-0.3,0.3,0,1.3,-1.3,0
SF,2012,11,4,1,0.719,397,273,124,7.8,2.5,10.2,3.5,6.7,1
SEA,2012,11,5,0,0.688,412,245,167,10.4,1.8,12.2,4.5,7.7,1
LAR,2012,7,8,1,0.469,299,348,-49,-3.1,3.4,0.4,-2.1,2.4,0
ARI,2012,5,11,0,0.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6,0
NE,2011,13,3,0,0.813,513,342,171,10.7,-1.4,9.3,9.4,-0.1,1
NYJ,2011,8,8,0,0.5,377,363,14,0.9,0,0.9,1.2,-0.3,0
MIA,2011,6,10,0,0.375,329,313,16,1,-0.1,0.9,-2.2,3.2,0
BUF,2011,6,10,0,0.375,372,434,-62,-3.9,0.5,-3.4,1.2,-4.5,0
BAL,2011,12,4,0,0.75,378,266,112,7,-0.9,6.1,2.6,3.5,1
PIT,2011,12,4,0,0.75,325,227,98,6.1,-0.8,5.3,-0.8,6,1
CIN,2011,9,7,0,0.563,344,323,21,1.3,-0.9,0.5,0.7,-0.2,1
CLE,2011,4,12,0,0.25,218,307,-89,-5.6,0.2,-5.4,-7.2,1.8,0
HOU,2011,10,6,0,0.625,381,278,103,6.4,-1.9,4.5,1.4,3.2,1
TEN,2011,9,7,0,0.563,325,317,8,0.5,-1.5,-1,-2.2,1.2,0
JAX,2011,5,11,0,0.313,243,329,-86,-5.4,-0.3,-5.6,-7.1,1.4,0
IND,2011,2,14,0,0.125,243,430,-187,-11.7,0.4,-11.3,-6,-5.3,0
DEN,2011,8,8,0,0.5,309,390,-81,-5.1,-0.2,-5.3,-3.6,-1.7,1
LAC,2011,8,8,0,0.5,406,377,29,1.8,-0.9,0.9,2.7,-1.8,0
LV,2011,8,8,0,0.5,359,433,-74,-4.6,-0.3,-4.9,0.2,-5.1,0
KC,2011,7,9,0,0.438,212,338,-126,-7.9,-0.2,-8.1,-10.2,2.1,0
NYG,2011,9,7,0,0.563,394,400,-6,-0.4,2,1.6,3.1,-1.5,1
PHI,2011,8,8,0,0.5,396,328,68,4.3,0.5,4.7,3.1,1.7,0
DAL,2011,8,8,0,0.5,369,347,22,1.4,0.3,1.6,0.7,0.9,0
WAS,2011,5,11,0,0.313,288,367,-79,-4.9,0.8,-4.1,-4.3,0.2,0
GB,2011,15,1,0,0.938,560,359,201,12.6,-1.2,11.4,11.5,-0.1,1
DET,2011,10,6,0,0.625,474,387,87,5.4,0.6,6.1,6.9,-0.8,1
CHI,2011,8,8,0,0.5,353,341,12,0.8,0.9,1.7,-1.5,3.1,0
MIN,2011,3,13,0,0.188,340,449,-109,-6.8,1.1,-5.7,-1.6,-4.1,0
NO,2011,13,3,0,0.813,547,339,208,13,-1.6,11.4,10.6,0.8,1
ATL,2011,10,6,0,0.625,402,350,52,3.3,0.3,3.5,1.8,1.7,1
CAR,2011,6,10,0,0.375,406,429,-23,-1.4,0.1,-1.3,2.6,-3.9,0
