Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
SF,1991,10,6,0,0.625,393,239,154,9.6,1.2,10.9,6.6,4.3,0
LAR,1991,3,13,0,0.188,234,390,-156,-9.8,3.7,-6,-2.6,-3.4,0
BUF,1990,13,3,0,0.813,428,263,165,10.3,-1.7,8.6,5.7,2.9,1
MIA,1990,12,4,0,0.75,336,242,94,5.9,-1.2,4.7,0.5,4.2,1
IND,1990,7,9,0,0.438,281,353,-72,-4.5,0.6,-3.9,-2.7,-1.2,0
NYJ,1990,6,10,0,0.375,295,345,-50,-3.1,-1.5,-4.6,-2,-2.6,0
NE,1990,1,15,0,0.063,181,446,-265,-16.6,2,-14.6,-7.5,-7.1,0
CIN,1990,9,7,0,0.563,360,352,8,0.5,-1.6,-1.1,1.9,-3,1
TEN,1990,9,7,0,0.563,405,307,98,6.1,-0.9,5.2,4.9,0.3,1
PIT,1990,9,7,0,0.563,292,240,52,3.3,-1.6,1.6,-3.4,5,0
CLE,1990,3,13,0,0.188,228,462,-234,-14.6,1.7,-13,-5.2,-7.8,0
LV,1990,12,4,0,0.75,337,268,69,4.3,2.2,6.6,2.2,4.4,1
KC,1990,11,5,0,0.688,369,257,112,7,-0.3,6.7,2.7,4.1,1
SEA,1990,9,7,0,0.563,306,286,20,1.3,1.5,2.7,-0.5,3.3,0
LAC,1990,6,10,0,0.375,315,281,34,2.1,0.2,2.3,-0.1,2.5,0
DEN,1990,5,11,0,0.313,331,374,-43,-2.7,1.9,-0.8,2.1,-2.9,0
NYG,1990,13,3,0,0.813,335,211,124,7.8,-0.1,7.7,0,7.6,1
PHI,1990,10,6,0,0.625,396,299,97,6.1,-0.5,5.6,4.5,1.1,1
WAS,1990,10,6,0,0.625,381,301,80,5,0.4,5.4,4.6,0.8,1
DAL,1990,7,9,0,0.438,244,308,-64,-4,0.3,-3.7,-4.8,1.1,0
ARI,1990,5,11,0,0.313,268,396,-128,-8,1.3,-6.7,-1.9,-4.8,0
CHI,1990,11,5,0,0.688,348,280,68,4.3,-0.8,3.4,0.1,3.3,1
TB,1990,6,10,0,0.375,264,367,-103,-6.4,-0.7,-7.1,-4,-3.2,0
DET,1990,6,10,0,0.375,373,413,-40,-2.5,0.9,-1.6,4.2,-5.9,0
GB,1990,6,10,0,0.375,271,347,-76,-4.8,0.6,-4.1,-3.7,-0.4,0
MIN,1990,6,10,0,0.375,351,326,25,1.6,0.9,2.4,2.6,-0.2,0
SF,1990,14,2,0,0.875,353,239,114,7.1,-1.4,5.8,1.2,4.6,1
NO,1990,8,8,0,0.5,274,275,-1,-0.1,-1.2,-1.3,-4.7,3.4,1
LAR,1990,5,11,0,0.313,345,412,-67,-4.2,-0.1,-4.2,2.3,-6.5,0
ATL,1990,5,11,0,0.313,348,365,-17,-1.1,-1.1,-2.1,0.9,-3.1,0
